Group,Fig.,User Interface,,,,,,MIDI assign reference,,,,"MIDI-IN
(to PC/Mac)",,,"MIDI-OUT
(from PC/Mac)",,,Details (Data 2)
,,UI name,+SHIFT,,Trigger,Deck,Condition (mode),"MIDI
Channel (Dec)","NOTE
/ CC",MIDI Data (Data 1) (Dec),(English scale),Status (Hex),Data 1 (Hex),Data 2 (Hex),Status (Hex),Data 1 (Hex),Data 2 (Hex),
,,PERFORMANCE PAD 3 L,,Yes,,,,13,Note,66,F#4,0x9C,0x42,dd,0x9C,0x42,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,No,,,KEY SHIFT MODE,12,Note,82,A#5,0x9B,0x52,dd,0x9B,0x52,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,Yes,,,,13,Note,82,A#5,0x9C,0x52,dd,0x9C,0x52,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,No,,,BEAT LOOP MODE,12,Note,98,D7,0x9B,0x62,dd,0x9B,0x62,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,Yes,,,,13,Note,98,D7,0x9C,0x62,dd,0x9C,0x62,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,No,,,SP. SCRATCH MODE,12,Note,114,F#8,0x9B,0x72,dd,0x9B,0x72,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,Yes,,,,13,Note,114,F#8,0x9C,0x72,dd,0x9C,0x72,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,No,Press,Deck 2,HOT CUE MODE,10,Note,2,D-1,0x99,0x2,dd,0x99,0x2,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,Yes,,,,11,Note,2,D-1,0x9A,0x2,dd,0x9A,0x2,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,No,,,PAD FX MODE,10,Note,18,F#0,0x99,0x12,dd,0x99,0x12,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,Yes,,,,11,Note,18,F#0,0x9A,0x12,dd,0x9A,0x12,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,No,,,BEAT JUMP MODE,10,Note,34,A#1,0x99,0x22,dd,0x99,0x22,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,Yes,,,,11,Note,34,A#1,0x9A,0x22,dd,0x9A,0x22,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,No,,,SAMPLER MODE,10,Note,50,D3,0x99,0x32,dd,0x99,0x32,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,Yes,,,,11,Note,50,D3,0x9A,0x32,dd,0x9A,0x32,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,No,,,KEYBOARD MODE,10,Note,66,F#4,0x99,0x42,dd,0x99,0x42,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,Yes,,,,11,Note,66,F#4,0x9A,0x42,dd,0x9A,0x42,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,No,,,KEY SHIFT MODE,10,Note,82,A#5,0x99,0x52,dd,0x99,0x52,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,Yes,,,,11,Note,82,A#5,0x9A,0x52,dd,0x9A,0x52,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,No,,,BEAT LOOP MODE,10,Note,98,D7,0x99,0x62,dd,0x99,0x62,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,Yes,,,,11,Note,98,D7,0x9A,0x62,dd,0x9A,0x62,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,No,,,SP. SCRATCH MODE,10,Note,114,F#8,0x99,0x72,dd,0x99,0x72,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,Yes,,,,11,Note,114,F#8,0x9A,0x72,dd,0x9A,0x72,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,No,Press,Deck 4,HOT CUE MODE,14,Note,2,D-1,0x9D,0x2,dd,0x9D,0x2,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,Yes,,,,15,Note,2,D-1,0x9E,0x2,dd,0x9E,0x2,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,No,,,PAD FX MODE,14,Note,18,F#0,0x9D,0x12,dd,0x9D,0x12,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,Yes,,,,15,Note,18,F#0,0x9E,0x12,dd,0x9E,0x12,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,No,,,BEAT JUMP MODE,14,Note,34,A#1,0x9D,0x22,dd,0x9D,0x22,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,Yes,,,,15,Note,34,A#1,0x9E,0x22,dd,0x9E,0x22,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,No,,,SAMPLER MODE,14,Note,50,D3,0x9D,0x32,dd,0x9D,0x32,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,Yes,,,,15,Note,50,D3,0x9E,0x32,dd,0x9E,0x32,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,No,,,KEYBOARD MODE,14,Note,66,F#4,0x9D,0x42,dd,0x9D,0x42,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,Yes,,,,15,Note,66,F#4,0x9E,0x42,dd,0x9E,0x42,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,No,,,KEY SHIFT MODE,14,Note,82,A#5,0x9D,0x52,dd,0x9D,0x52,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,Yes,,,,15,Note,82,A#5,0x9E,0x52,dd,0x9E,0x52,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,No,,,BEAT LOOP MODE,14,Note,98,D7,0x9D,0x62,dd,0x9D,0x62,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,Yes,,,,15,Note,98,D7,0x9E,0x62,dd,0x9E,0x62,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,No,,,SP. SCRATCH MODE,14,Note,114,F#8,0x9D,0x72,dd,0x9D,0x72,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 R,,Yes,,,,15,Note,114,F#8,0x9E,0x72,dd,0x9E,0x72,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,No,Press,Deck 1,HOT CUE MODE,8,Note,3,D#-1,0x97,0x3,dd,0x97,0x3,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,Yes,,,,9,Note,3,D#-1,0x98,0x3,dd,0x98,0x3,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,No,,,PAD FX MODE,8,Note,19,G0,0x97,0x13,dd,0x97,0x13,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,Yes,,,,9,Note,19,G0,0x98,0x13,dd,0x98,0x13,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,No,,,BEAT JUMP MODE,8,Note,35,B1,0x97,0x23,dd,0x97,0x23,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,Yes,,,,9,Note,35,B1,0x98,0x23,dd,0x98,0x23,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,No,,,SAMPLER MODE,8,Note,51,D#3,0x97,0x33,dd,0x97,0x33,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,Yes,,,,9,Note,51,D#3,0x98,0x33,dd,0x98,0x33,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,No,,,KEYBOARD MODE,8,Note,67,G4,0x97,0x43,dd,0x97,0x43,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,Yes,,,,9,Note,67,G4,0x98,0x43,dd,0x98,0x43,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,No,,,KEY SHIFT MODE,8,Note,83,B5,0x97,0x53,dd,0x97,0x53,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,Yes,,,,9,Note,83,B5,0x98,0x53,dd,0x98,0x53,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,No,,,BEAT LOOP MODE,8,Note,99,D#7,0x97,0x63,dd,0x97,0x63,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,Yes,,,,9,Note,99,D#7,0x98,0x63,dd,0x98,0x63,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,No,,,SP. SCRATCH MODE,8,Note,115,G8,0x97,0x73,dd,0x97,0x73,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,Yes,,,,9,Note,115,G8,0x98,0x73,dd,0x98,0x73,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,No,Press,Deck 3,HOT CUE MODE,12,Note,3,D#-1,0x9B,0x3,dd,0x9B,0x3,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,Yes,,,,13,Note,3,D#-1,0x9C,0x3,dd,0x9C,0x3,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,No,,,PAD FX MODE,12,Note,19,G0,0x9B,0x13,dd,0x9B,0x13,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,Yes,,,,13,Note,19,G0,0x9C,0x13,dd,0x9C,0x13,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,No,,,BEAT JUMP MODE,12,Note,35,B1,0x9B,0x23,dd,0x9B,0x23,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,Yes,,,,13,Note,35,B1,0x9C,0x23,dd,0x9C,0x23,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,No,,,SAMPLER MODE,12,Note,51,D#3,0x9B,0x33,dd,0x9B,0x33,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,Yes,,,,13,Note,51,D#3,0x9C,0x33,dd,0x9C,0x33,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,No,,,KEYBOARD MODE,12,Note,67,G4,0x9B,0x43,dd,0x9B,0x43,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,Yes,,,,13,Note,67,G4,0x9C,0x43,dd,0x9C,0x43,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,No,,,KEY SHIFT MODE,12,Note,83,B5,0x9B,0x53,dd,0x9B,0x53,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,Yes,,,,13,Note,83,B5,0x9C,0x53,dd,0x9C,0x53,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,No,,,BEAT LOOP MODE,12,Note,99,D#7,0x9B,0x63,dd,0x9B,0x63,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,Yes,,,,13,Note,99,D#7,0x9C,0x63,dd,0x9C,0x63,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,No,,,SP. SCRATCH MODE,12,Note,115,G8,0x9B,0x73,dd,0x9B,0x73,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 L,,Yes,,,,13,Note,115,G8,0x9C,0x73,dd,0x9C,0x73,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,No,Press,Deck 2,HOT CUE MODE,10,Note,3,D#-1,0x99,0x3,dd,0x99,0x3,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,Yes,,,,11,Note,3,D#-1,0x9A,0x3,dd,0x9A,0x3,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,No,,,PAD FX MODE,10,Note,19,G0,0x99,0x13,dd,0x99,0x13,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,Yes,,,,11,Note,19,G0,0x9A,0x13,dd,0x9A,0x13,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,No,,,BEAT JUMP MODE,10,Note,35,B1,0x99,0x23,dd,0x99,0x23,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,Yes,,,,11,Note,35,B1,0x9A,0x23,dd,0x9A,0x23,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,No,,,SAMPLER MODE,10,Note,51,D#3,0x99,0x33,dd,0x99,0x33,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,Yes,,,,11,Note,51,D#3,0x9A,0x33,dd,0x9A,0x33,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,No,,,KEYBOARD MODE,10,Note,67,G4,0x99,0x43,dd,0x99,0x43,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,Yes,,,,11,Note,67,G4,0x9A,0x43,dd,0x9A,0x43,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,No,,,KEY SHIFT MODE,10,Note,83,B5,0x99,0x53,dd,0x99,0x53,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,Yes,,,,11,Note,83,B5,0x9A,0x53,dd,0x9A,0x53,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,No,,,BEAT LOOP MODE,10,Note,99,D#7,0x99,0x63,dd,0x99,0x63,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,Yes,,,,11,Note,99,D#7,0x9A,0x63,dd,0x9A,0x63,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,No,,,SP. SCRATCH MODE,10,Note,115,G8,0x99,0x73,dd,0x99,0x73,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,Yes,,,,11,Note,115,G8,0x9A,0x73,dd,0x9A,0x73,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,No,Press,Deck 4,HOT CUE MODE,14,Note,3,D#-1,0x9D,0x3,dd,0x9D,0x3,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,Yes,,,,15,Note,3,D#-1,0x9E,0x3,dd,0x9E,0x3,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,No,,,PAD FX MODE,14,Note,19,G0,0x9D,0x13,dd,0x9D,0x13,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,Yes,,,,15,Note,19,G0,0x9E,0x13,dd,0x9E,0x13,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,No,,,BEAT JUMP MODE,14,Note,35,B1,0x9D,0x23,dd,0x9D,0x23,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,Yes,,,,15,Note,35,B1,0x9E,0x23,dd,0x9E,0x23,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,No,,,SAMPLER MODE,14,Note,51,D#3,0x9D,0x33,dd,0x9D,0x33,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,Yes,,,,15,Note,51,D#3,0x9E,0x33,dd,0x9E,0x33,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,No,,,KEYBOARD MODE,14,Note,67,G4,0x9D,0x43,dd,0x9D,0x43,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,Yes,,,,15,Note,67,G4,0x9E,0x43,dd,0x9E,0x43,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,No,,,KEY SHIFT MODE,14,Note,83,B5,0x9D,0x53,dd,0x9D,0x53,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,Yes,,,,15,Note,83,B5,0x9E,0x53,dd,0x9E,0x53,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,No,,,BEAT LOOP MODE,14,Note,99,D#7,0x9D,0x63,dd,0x9D,0x63,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,Yes,,,,15,Note,99,D#7,0x9E,0x63,dd,0x9E,0x63,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,No,,,SP. SCRATCH MODE,14,Note,115,G8,0x9D,0x73,dd,0x9D,0x73,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 4 R,,Yes,,,,15,Note,115,G8,0x9E,0x73,dd,0x9E,0x73,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,No,Press,Deck 1,HOT CUE MODE,8,Note,4,E-1,0x97,0x4,dd,0x97,0x4,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,Yes,,,,9,Note,4,E-1,0x98,0x4,dd,0x98,0x4,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,No,,,PAD FX MODE,8,Note,20,G#0,0x97,0x14,dd,0x97,0x14,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,Yes,,,,9,Note,20,G#0,0x98,0x14,dd,0x98,0x14,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,No,,,BEAT JUMP MODE,8,Note,36,C2,0x97,0x24,dd,0x97,0x24,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,Yes,,,,9,Note,36,C2,0x98,0x24,dd,0x98,0x24,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,No,,,SAMPLER MODE,8,Note,52,E3,0x97,0x34,dd,0x97,0x34,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,Yes,,,,9,Note,52,E3,0x98,0x34,dd,0x98,0x34,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,No,,,KEYBOARD MODE,8,Note,68,G#4,0x97,0x44,dd,0x97,0x44,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,Yes,,,,9,Note,68,G#4,0x98,0x44,dd,0x98,0x44,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,No,,,KEY SHIFT MODE,8,Note,84,C6,0x97,0x54,dd,0x97,0x54,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,Yes,,,,9,Note,84,C6,0x98,0x54,dd,0x98,0x54,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,No,,,BEAT LOOP MODE,8,Note,100,E7,0x97,0x64,dd,0x97,0x64,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,Yes,,,,9,Note,100,E7,0x98,0x64,dd,0x98,0x64,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,No,,,SP. SCRATCH MODE,8,Note,116,G#8,0x97,0x74,dd,0x97,0x74,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,Yes,,,,9,Note,116,G#8,0x98,0x74,dd,0x98,0x74,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,No,Press,Deck 3,HOT CUE MODE,12,Note,4,E-1,0x9B,0x4,dd,0x9B,0x4,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,Yes,,,,13,Note,4,E-1,0x9C,0x4,dd,0x9C,0x4,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,No,,,PAD FX MODE,12,Note,20,G#0,0x9B,0x14,dd,0x9B,0x14,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,Yes,,,,13,Note,20,G#0,0x9C,0x14,dd,0x9C,0x14,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,No,,,BEAT JUMP MODE,12,Note,36,C2,0x9B,0x24,dd,0x9B,0x24,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,Yes,,,,13,Note,36,C2,0x9C,0x24,dd,0x9C,0x24,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,No,,,SAMPLER MODE,12,Note,52,E3,0x9B,0x34,dd,0x9B,0x34,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,Yes,,,,13,Note,52,E3,0x9C,0x34,dd,0x9C,0x34,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,No,,,KEYBOARD MODE,12,Note,68,G#4,0x9B,0x44,dd,0x9B,0x44,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,Yes,,,,13,Note,68,G#4,0x9C,0x44,dd,0x9C,0x44,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,No,,,KEY SHIFT MODE,12,Note,84,C6,0x9B,0x54,dd,0x9B,0x54,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,Yes,,,,13,Note,84,C6,0x9C,0x54,dd,0x9C,0x54,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,No,,,BEAT LOOP MODE,12,Note,100,E7,0x9B,0x64,dd,0x9B,0x64,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,Yes,,,,13,Note,100,E7,0x9C,0x64,dd,0x9C,0x64,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,No,,,SP. SCRATCH MODE,12,Note,116,G#8,0x9B,0x74,dd,0x9B,0x74,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 L,,Yes,,,,13,Note,116,G#8,0x9C,0x74,dd,0x9C,0x74,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,No,Press,Deck 2,HOT CUE MODE,10,Note,4,E-1,0x99,0x4,dd,0x99,0x4,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,Yes,,,,11,Note,4,E-1,0x9A,0x4,dd,0x9A,0x4,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,No,,,PAD FX MODE,10,Note,20,G#0,0x99,0x14,dd,0x99,0x14,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,Yes,,,,11,Note,20,G#0,0x9A,0x14,dd,0x9A,0x14,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,No,,,BEAT JUMP MODE,10,Note,36,C2,0x99,0x24,dd,0x99,0x24,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,Yes,,,,11,Note,36,C2,0x9A,0x24,dd,0x9A,0x24,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,No,,,SAMPLER MODE,10,Note,52,E3,0x99,0x34,dd,0x99,0x34,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,Yes,,,,11,Note,52,E3,0x9A,0x34,dd,0x9A,0x34,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,No,,,KEYBOARD MODE,10,Note,68,G#4,0x99,0x44,dd,0x99,0x44,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,Yes,,,,11,Note,68,G#4,0x9A,0x44,dd,0x9A,0x44,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,No,,,KEY SHIFT MODE,10,Note,84,C6,0x99,0x54,dd,0x99,0x54,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,Yes,,,,11,Note,84,C6,0x9A,0x54,dd,0x9A,0x54,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,No,,,BEAT LOOP MODE,10,Note,100,E7,0x99,0x64,dd,0x99,0x64,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,Yes,,,,11,Note,100,E7,0x9A,0x64,dd,0x9A,0x64,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,No,,,SP. SCRATCH MODE,10,Note,116,G#8,0x99,0x74,dd,0x99,0x74,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,Yes,,,,11,Note,116,G#8,0x9A,0x74,dd,0x9A,0x74,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,No,Press,Deck 4,HOT CUE MODE,14,Note,4,E-1,0x9D,0x4,dd,0x9D,0x4,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,Yes,,,,15,Note,4,E-1,0x9E,0x4,dd,0x9E,0x4,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,No,,,PAD FX MODE,14,Note,20,G#0,0x9D,0x14,dd,0x9D,0x14,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,Yes,,,,15,Note,20,G#0,0x9E,0x14,dd,0x9E,0x14,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,No,,,BEAT JUMP MODE,14,Note,36,C2,0x9D,0x24,dd,0x9D,0x24,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,Yes,,,,15,Note,36,C2,0x9E,0x24,dd,0x9E,0x24,dd,"NoteOff=0x00, NoteOn=0x7F"
