Group,Fig.,User Interface,,,,,,MIDI assign reference,,,,"MIDI-IN
(to PC/Mac)",,,"MIDI-OUT
(from PC/Mac)",,,Details (Data 2)
,,UI name,+SHIFT,,Trigger,Deck,Condition (mode),"MIDI
Channel (Dec)","NOTE
/ CC",MIDI Data (Data 1) (Dec),(English scale),Status (Hex),Data 1 (Hex),Data 2 (Hex),Status (Hex),Data 1 (Hex),Data 2 (Hex),
,,CUE/LOOP MEMORY R,,Yes,,,-,2,Note,62,D4,0x91,0x3E,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,CUE/LOOP MEMORY R,,No,Press,Deck 4,-,4,Note,61,C#4,0x93,0x3D,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,CUE/LOOP MEMORY R,,Yes,,,-,4,Note,62,D4,0x93,0x3E,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,1-13L,MERGE FX PRESET L,,No,Press,-,-,5,Note,47,B2,0x94,0x2F,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,MERGE FX PRESET L,,Yes,,-,-,5,Note,48,C3,0x94,0x30,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,1-13R,MERGE FX PRESET R,,No,Press,-,-,6,Note,47,B2,0x95,0x2F,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,MERGE FX PRESET R,,Yes,,-,-,6,Note,48,C3,0x95,0x30,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,1-14L,MERGE FX PARAMETER L,,No,Turn,-,-,5,CC,-,-,0xB4,0x8,dd,-,-,-,"Difference count value from previous operated Turn clockwise : Increases from 01 (0x41)
Turn counterclockwise : Decreases from 127 (0x7F)"
,,MERGE FX PARAMETER L,,Yes,,,-,5,CC,-,-,0xB4,0x28,dd,-,-,-,
,,MERGE FX PARAMETER L,,No,Press,-,-,5,Note,46,A#2,0x94,0x2E,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,MERGE FX PARAMETER L,,Yes,,,-,5,Note,49,C#3,0x94,0x31,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,MERGE FX ILLUMINATION L,,-,-,-,-,5,CC,-,-,-,-,-,0xB4,0x10,dd,"Off=0x00, On=0x7F"
,1-14R,MERGE FX PARAMETER R,,No,Turn,-,-,6,CC,-,-,0xB5,0x8,dd,-,-,-,"Difference count value from previous operated Turn clockwise : Increases from 01 (0x41)
Turn counterclockwise : Decreases from 127 (0x7F)"
,,MERGE FX PARAMETER R,,Yes,,,-,6,CC,-,-,0xB5,0x28,dd,-,-,-,
